date,name,category,value
1995-01-01,United States,North America,19.216897002381
1996-01-01,Argentina,South America,3.4627891850664
1996-01-01,Australia,Oceania,16.4710144168098
1996-01-01,Brazil,South America,1.58045439982994
1996-01-01,Canada,North America,15.5926140091235
1996-01-01,China,Asia,2.52187187384502
1996-01-01,France,Europe,6.15764639491384
1996-01-01,Germany,Europe,11.0399715040613
1996-01-01,India,Asia,0.787231756113946
1996-01-01,Indonesia,Asia,1.1755109680584
1996-01-01,Iran,Asia,4.54252383074113
1996-01-01,Italy,Europe,7.24853083297285
1996-01-01,Japan,Asia,9.42012452587132
1996-01-01,Republic of Korea,Asia,9.00589067279791
1996-01-01,Mexico,South America,3.52343310652966
1996-01-01,Russia,Europe,10.8070673993541
1996-01-01,Saudi Arabia,Asia,11.2132540076702
1996-01-01,Spain,Europe,5.76871531135287
1996-01-01,Turkey,Asia,3.07391046898266
1996-01-01,United Kingdom,Europe,9.37780131156954
1996-01-01,United States,North America,19.5753665634721
1997-01-01,Argentina,South America,3.52129780315044
1997-01-01,Australia,Oceania,16.7061760772667
1997-01-01,Brazil,South America,1.66918123176385
1997-01-01,Canada,North America,15.9438483608679
1997-01-01,China,Asia,2.54790366441071
1997-01-01,France,Europe,5.98867492689338
1997-01-01,Germany,Europe,10.6375197902363
1997-01-01,India,Asia,0.817360076229187
1997-01-01,Indonesia,Asia,1.27625247310355
1997-01-01,Iran,Asia,4.67983523764114
1997-01-01,Italy,Europe,7.30382462607205
1997-01-01,Japan,Asia,9.30217361987038
1997-01-01,Republic of Korea,Asia,9.3929047530138
1997-01-01,Mexico,South America,3.67532762970931
1997-01-01,Russia,Europe,10.0699919868363
1997-01-01,Saudi Arabia,Asia,11.0376436356881
1997-01-01,Spain,Europe,6.20617334794337
1997-01-01,Turkey,Asia,3.15660125802282
1997-01-01,United Kingdom,Europe,8.98865876979789
1997-01-01,United States,North America,20.3308530498025
1998-01-01,Argentina,South America,3.6615567575534
1998-01-01,Australia,Oceania,17.6023335431403
1998-01-01,Brazil,South America,1.69894488419783
1998-01-01,Canada,North America,16.0765716714674
1998-01-01,China,Asia,2.60583573214379
1998-01-01,France,Europe,6.33269034381028
1998-01-01,Germany,Europe,10.545804765172
1998-01-01,India,Asia,0.818720963289576
1998-01-01,Indonesia,Asia,1.26388340791736
1998-01-01,Iran,Asia,4.58542206295696
1998-01-01,Italy,Europe,7.49247224546883
1998-01-01,Japan,Asia,8.94209256329114
1998-01-01,Republic of Korea,Asia,7.91952677868103
1998-01-01,Mexico,South America,3.85304278636919
1998-01-01,Russia,Europe,10.076231463632
1998-01-01,Saudi Arabia,Asia,11.4249791672569
1998-01-01,Spain,Europe,6.36979483813806
1998-01-01,Turkey,Asia,3.11183710653948
1998-01-01,United Kingdom,Europe,8.99344011361403
1998-01-01,United States,North America,20.2662868763911
1999-01-01,Argentina,South America,3.66960102153625
1999-01-01,Australia,Oceania,17.7372431090697
1999-01-01,Brazil,South America,1.73476944842688
1999-01-01,Canada,North America,16.2584734079999
1999-01-01,China,Asia,2.51742076336975
1999-01-01,France,Europe,6.19795380238336
1999-01-01,Germany,Europe,10.1533792049799
1999-01-01,India,Asia,0.866242338513132
1999-01-01,Indonesia,Asia,1.32458290502927
1999-01-01,Iran,Asia,5.01530327882646
1999-01-01,Italy,Europe,7.60784644586191
1999-01-01,Japan,Asia,9.23118904533645
1999-01-01,Republic of Korea,Asia,8.62091693065123
1999-01-01,Mexico,South America,3.68691545662466
1999-01-01,Russia,Europe,10.3503285566932
1999-01-01,Saudi Arabia,Asia,11.4004938680588
1999-01-01,Spain,Europe,6.89086491589161
1999-01-01,Turkey,Asia,3.04897562522736
1999-01-01,United Kingdom,Europe,8.90815665449369
1999-01-01,United States,North America,20.1011227780963
2000-01-01,Argentina,South America,3.56791849018313
2000-01-01,Australia,Oceania,17.8373183976585
2000-01-01,Brazil,South America,1.7835001158786
2000-01-01,Canada,North America,16.7574667443141
2000-01-01,China,Asia,2.65040910152893
2000-01-01,France,Europe,6.12651544488878
2000-01-01,Germany,Europe,10.0993658941276
2000-01-01,India,Asia,0.885077949226179
2000-01-01,Indonesia,Asia,1.3109381334086
2000-01-01,Iran,Asia,5.19428491683261
2000-01-01,Italy,Europe,7.66210832939307
2000-01-01,Japan,Asia,9.33772380028855
2000-01-01,Republic of Korea,Asia,9.51404535272647
2000-01-01,Mexico,South America,3.8741459608624
2000-01-01,Russia,Europe,10.6676603031679
2000-01-01,Saudi Arabia,Asia,11.5863127738441
2000-01-01,Spain,Europe,7.23021305731058
2000-01-01,Turkey,Asia,3.37520711496433
2000-01-01,United Kingdom,Europe,9.01452772078978
2000-01-01,United States,North America,20.4697967370289
2001-01-01,Argentina,South America,3.34187706655833
2001-01-01,Australia,Oceania,17.9307269150375
2001-01-01,Brazil,South America,1.79211227785649
2001-01-01,Canada,North America,16.3314367841399
2001-01-01,China,Asia,2.77476219679994
2001-01-01,France,Europe,6.14105166085935
2001-01-01,Germany,Europe,10.2936122892644
2001-01-01,India,Asia,0.883746998008724
2001-01-01,Indonesia,Asia,1.39123766548666
2001-01-01,Iran,Asia,5.31037407192706
2001-01-01,Italy,Europe,7.66262915956549
2001-01-01,Japan,Asia,9.22020228236164
2001-01-01,Republic of Korea,Asia,9.64054082649999
2001-01-01,Mexico,South America,3.81139205906883
2001-01-01,Russia,Europe,10.73578413816
2001-01-01,Saudi Arabia,Asia,11.5043474059887
2001-01-01,Spain,Europe,7.21625035262802
2001-01-01,Turkey,Asia,3.03926489570371
2001-01-01,United Kingdom,Europe,9.22302462667546
2001-01-01,United States,North America,20.1715369311018
2002-01-01,Argentina,South America,3.10048866797723
2002-01-01,Australia,Oceania,18.1232107784425
2002-01-01,Brazil,South America,1.76065124423135
2002-01-01,Canada,North America,16.7204106851899
2002-01-01,China,Asia,2.96482122774133
2002-01-01,France,Europe,6.0043644845786
2002-01-01,Germany,Europe,10.1030113350959
2002-01-01,India,Asia,0.897242648505059
2002-01-01,Indonesia,Asia,1.38851451403432
2002-01-01,Iran,Asia,5.49371213979057
2002-01-01,Italy,Europe,7.77218397789502
2002-01-01,Japan,Asia,9.46887049315391
2002-01-01,Republic of Korea,Asia,9.67578244110745
2002-01-01,Mexico,South America,3.82496794571377
2002-01-01,Russia,Europe,10.7726387485619
2002-01-01,Saudi Arabia,Asia,12.0340452579772
2002-01-01,Spain,Europe,7.54867340494412
2002-01-01,Turkey,Asia,3.15368717199195
2002-01-01,United Kingdom,Europe,8.94023273755295
2002-01-01,United States,North America,19.4455302807915
2003-01-01,Argentina,South America,3.33489087930132
2003-01-01,Australia,Oceania,17.8945391341105
2003-01-01,Brazil,South America,1.70185253648103
2003-01-01,Canada,North America,17.2083591886595
2003-01-01,China,Asia,3.43403647935424
2003-01-01,France,Europe,6.05295599834043
2003-01-01,Germany,Europe,10.138763607454
2003-01-01,India,Asia,0.905456601736005
2003-01-01,Indonesia,Asia,1.49667347544607
2003-01-01,Iran,Asia,5.73583734069663
2003-01-01,Italy,Europe,8.06442103750509
2003-01-01,Japan,Asia,9.50476440282497
2003-01-01,Republic of Korea,Asia,9.68660117392493
2003-01-01,Mexico,South America,3.95094019007698
2003-01-01,Russia,Europe,11.1303980795724
2003-01-01,Saudi Arabia,Asia,12.3031481310381
2003-01-01,Spain,Europe,7.55334174258838
2003-01-01,Turkey,Asia,3.27751399424116
2003-01-01,United Kingdom,Europe,9.10409319728109
2003-01-01,United States,North America,19.5065055322014
2004-01-01,Argentina,South America,3.65608487008491
2004-01-01,Australia,Oceania,18.3688710453093
2004-01-01,Brazil,South America,1.77844124428615
2004-01-01,Canada,North America,16.7941859676954
2004-01-01,China,Asia,3.94515487143877
2004-01-01,France,Europe,6.02631953482719
2004-01-01,Germany,Europe,9.9504461302536
2004-01-01,India,Asia,0.955470157428994
2004-01-01,Indonesia,Asia,1.51030150470751
2004-01-01,Iran,Asia,6.04764373362858
2004-01-01,Italy,Europe,8.18934076598023
2004-01-01,Japan,Asia,9.44956363835599
2004-01-01,Republic of Korea,Asia,10.1057434199735
2004-01-01,Mexico,South America,3.98382568810155
2004-01-01,Russia,Europe,11.1127113661228
2004-01-01,Saudi Arabia,Asia,12.6739850141629
2004-01-01,Spain,Europe,7.81792835567954
2004-01-01,Turkey,Asia,3.31343145965391
2004-01-01,United Kingdom,Europe,9.0530899520495
2004-01-01,United States,North America,19.5976167070584
2005-01-01,Argentina,South America,3.73671686472615
2005-01-01,Australia,Oceania,18.2784730852853
2005-01-01,Brazil,South America,1.77566292246976
2005-01-01,Canada,North America,17.0275680997804
2005-01-01,China,Asia,4.46769636118185
2005-01-01,France,Europe,6.02667784171445
2005-01-01,Germany,Europe,9.7294631214949
2005-01-01,India,Asia,0.984261472618751
2005-01-01,Indonesia,Asia,1.49536891530725
2005-01-01,Iran,Asia,6.42318378827662
2005-01-01,Italy,Europe,8.17381434687257
2005-01-01,Japan,Asia,9.51276404248159
2005-01-01,Republic of Korea,Asia,9.98249418522252
2005-01-01,Mexico,South America,4.09880078414754
2005-01-01,Russia,Europe,11.2318521528474
2005-01-01,Saudi Arabia,Asia,12.9231002796827
2005-01-01,Spain,Europe,8.02919743143422
2005-01-01,Turkey,Asia,3.42047849263329
2005-01-01,United Kingdom,Europe,8.95540065872195
2005-01-01,United States,North America,19.4692725196123
2006-01-01,Argentina,South America,3.92426184145235
2006-01-01,Australia,Oceania,18.2927495943223
2006-01-01,Brazil,South America,1.77747795657257
2006-01-01,Canada,North America,16.5952139152245
2006-01-01,China,Asia,4.91027619715946
2006-01-01,France,Europe,5.84238818030875
2006-01-01,Germany,Europe,9.88647957169216
2006-01-01,India,Asia,1.03653392155165
2006-01-01,Indonesia,Asia,1.57235136177763
2006-01-01,Iran,Asia,6.79304015839326
2006-01-01,Italy,Europe,8.02584391412222
2006-01-01,Japan,Asia,9.33129428879816
2006-01-01,Republic of Korea,Asia,10.0716206095789
2006-01-01,Mexico,South America,4.19418339721868
2006-01-01,Russia,Europe,11.568369096945
2006-01-01,Saudi Arabia,Asia,13.2149871153262
2006-01-01,Spain,Europe,7.69812924965131
2006-01-01,Turkey,Asia,3.75112930667578
2006-01-01,United Kingdom,Europe,8.90861346574891
2006-01-01,United States,North America,18.9459168417477
2007-01-01,Argentina,South America,4.08315143871477
2007-01-01,Australia,Oceania,18.4547376555999
2007-01-01,Brazil,South America,1.847975735626
2007-01-01,Canada,North America,17.3806307727274
2007-01-01,China,Asia,5.30636800631315
2007-01-01,France,Europe,5.67076460296602
2007-01-01,Germany,Europe,9.52762326749987
2007-01-01,India,Asia,1.1235994817209
2007-01-01,Indonesia,Asia,1.61781217779373
2007-01-01,Iran,Asia,7.10933265530428
2007-01-01,Italy,Europe,7.86078687080444
2007-01-01,Japan,Asia,9.5936031749752
2007-01-01,Republic of Korea,Asia,10.3462645909905
2007-01-01,Mexico,South America,4.22076132665352
2007-01-01,Russia,Europe,11.6112690474096
2007-01-01,Saudi Arabia,Asia,13.4324426740113
2007-01-01,Spain,Europe,7.84232084677752
2007-01-01,Turkey,Asia,4.10064478259187
2007-01-01,United Kingdom,Europe,8.65103053672192
2007-01-01,United States,North America,19.0429117790575
2008-01-01,Argentina,South America,4.15237520977984
2008-01-01,Australia,Oceania,18.2392898668792
2008-01-01,Brazil,South America,1.93921527398251
2008-01-01,Canada,North America,16.5594262937317
2008-01-01,China,Asia,5.43507909606652
2008-01-01,France,Europe,5.5640399420339
2008-01-01,Germany,Europe,9.61745788706108
2008-01-01,India,Asia,1.18036124666151
2008-01-01,Indonesia,Asia,1.58083241547306
2008-01-01,Iran,Asia,7.13393012945701
2008-01-01,Italy,Europe,7.5643247964943
2008-01-01,Japan,Asia,9.04895324957248
2008-01-01,Republic of Korea,Asia,10.496943534961
2008-01-01,Mexico,South America,4.18972731869134
2008-01-01,Russia,Europe,11.5956540891301
2008-01-01,Saudi Arabia,Asia,14.2037535472172
2008-01-01,Spain,Europe,7.05647934920114
2008-01-01,Turkey,Asia,4.02695003413173
2008-01-01,United Kingdom,Europe,8.33782001535587
2008-01-01,United States,North America,18.278491260823
2009-01-01,Argentina,South America,3.84834822677955
2009-01-01,Australia,Oceania,18.1572008366536
2009-01-01,Brazil,South America,1.79932814185315
2009-01-01,Canada,North America,15.5045058721079
2009-01-01,China,Asia,5.79831993750282
2009-01-01,France,Europe,5.31413736475439
2009-01-01,Germany,Europe,8.97173140678443
2009-01-01,India,Asia,1.27887360284089
2009-01-01,Indonesia,Asia,1.62287572364692
2009-01-01,Iran,Asia,7.29652191655885
2009-01-01,Italy,Europe,6.71892118781227
2009-01-01,Japan,Asia,8.60923098549751
2009-01-01,Republic of Korea,Asia,10.6806453781635
2009-01-01,Mexico,South America,4.03759396221293
2009-01-01,Russia,Europe,10.8321085519776
2009-01-01,Saudi Arabia,Asia,14.2722088631653
2009-01-01,Spain,Europe,6.21468704771263
2009-01-01,Turkey,Asia,3.9917569992008
2009-01-01,United Kingdom,Europe,7.49069428853077
2009-01-01,United States,North America,16.8086814210194
2010-01-01,Argentina,South America,4.09984413971278
2010-01-01,Australia,Oceania,18.4547376555999
2010-01-01,Brazil,South America,2.02660566892286
2010-01-01,Canada,North America,17.9737515176961
2010-01-01,China,Asia,6.33541976743751
2010-01-01,France,Europe,5.35040786583849
2010-01-01,Germany,Europe,9.45338862684134
2010-01-01,India,Asia,1.33803383522422
2010-01-01,Indonesia,Asia,1.70290597910492
2010-01-01,Iran,Asia,7.1798251528995
2010-01-01,Italy,Europe,6.83687516276224
2010-01-01,Japan,Asia,9.03600999453424
2010-01-01,Republic of Korea,Asia,11.6078298406397
2010-01-01,Mexico,South America,4.11321091425038
2010-01-01,Russia,Europe,11.3254009458404
2010-01-01,Saudi Arabia,Asia,15.1683862693943
2010-01-01,Spain,Europe,5.88576349343324
2010-01-01,Turkey,Asia,4.06875601173818
2010-01-01,United Kingdom,Europe,7.68956749367277
2010-01-01,United States,North America,17.4317369879177
2011-01-01,Argentina,South America,4.28102814513
2011-01-01,Australia,Oceania,17.6560553381679
2011-01-01,Brazil,South America,2.11062775987293
2011-01-01,Canada,North America,15.9982717192369
2011-01-01,China,Asia,6.90134732553428
2011-01-01,France,Europe,5.12710544623814
2011-01-01,Germany,Europe,9.29900290355714
2011-01-01,India,Asia,1.39687849773199
2011-01-01,Indonesia,Asia,1.92554222355036
2011-01-01,Iran,Asia,7.23119486664987
2011-01-01,Italy,Europe,6.6805503702131
2011-01-01,Japan,Asia,9.49500989572333
2011-01-01,Republic of Korea,Asia,11.9848036225426
2011-01-01,Mexico,South America,4.19098978654326
2011-01-01,Russia,Europe,11.884949695479
2011-01-01,Saudi Arabia,Asia,15.3813984934801
2011-01-01,Spain,Europe,5.89332917610638
